ID_master;name;year_of_live;city;country
1;Анисфельд Борис Израилевич;1878-1973;Бельцы;Российская империя
2;Аронсон Наум Львович;1872-1943;Краслава;Российская империя
3;Архипов Абрам Ефимович;1862-1930;Егорово;Российская империя
4;Беллини Джованни;1430-1516;Венеция;Италия
5;Богданов-Бельский Николай Петрович;1868-1945;Шитики;Российская империя
6;Борисов-Мусатов Виктор Эльпидифорович;1870-1905;Саратов;Российская империя
7;Бучкин Петр Дмитриевич;1886-1965;Софроново;Российская империя
8;Вааген Артур-Саул;1833-1898;Мернеля;Восточная Пруссия
9;Васнецов Аполлинарий Михайлович;1856-1933;Рябово;Российская империя
10;Васнецов Виктор Михайлович;1848-1926;Лопьял;Российская империя
11;Вычегжанин Георгий Владимирович;1906-1949;Пусто;Российская империя
12;Гинцбург Илья Яковлевич;1859-1939;Гродно;Российская империя
13;Голубкина Анна Семеновна;1864-1927;Зарайск;Российская империя
14;Гончарова Наталья Сергеевна;1881-1962;Ладыжино;Российская империя
15;Грабарь Игорь Эммануилович;1871-1960;Будапешт;Австро-Венгрия
16;Денисов-Уральский Алексей Кузьмич;1864-1926;Екатеринбург;Российская империя
17;Дубовской Николай Никандрович;1859-1918;Новочеркасск;Российская империя
18;Жуковский Станислав Юлианович;1873-1944;Ендриховцы;Российска империя
19;Кардовский Дмитрий Николаевич;1866-1943;Осурово;Российская империя
20;Кирьянов Никон;XlX в.;Габово;Российская империя
21;Киселев Александр Александрович;1838-1911;Свеаборг;Российская империя
22;Клодт Михаил Петрович;1835-1914;Санкт-Петербург;Российская империя
23;Клодт Петр Карлович;1805-1867;Санкт-Петербург;Российская империя
24;Клюн Иван Васильевич;1873-1943;Большие Горки;Российская империя
25;Коненков Сергей Тимофеевич;1874-1971;Караковичи;Российская империя
26;Корин Алексей Михайлович;1865-1923;Палех;Российская империя
27;Коровин Константин Алексеевич;1861-1939;Москва;Российская империя
28;Левитан Исаак Ильич;1860-1900;Кубартай;Российская империя
29;Лентулов Аристарх Васильевич;1882-1943;Новая Пятина;Российская империя
30;Либерих Николай Иванович;1828-1883;Санкт-Петербург;Российская империя
31;Макаров Иван Кузьмич;1822-1897;Арзамас;Российская империя
32;Малявин Филипп Андреевич;1869-1940;Казанка;Российская империя
33;Мамаев Андрей;1853−1913;Юг;Российская империя
34;Моравов Александр Викторович;1878-1951;Великая Мотовиловка;Российская империя
35;Нестеров Михаил Васильевич;1862-1942;Уфа;Российская империя
36;Паннини Джованни Паоло;1691-1765;Пьяченца;Эмилия-Романья
37;Пелевин Иван Андреевич;1840-1917;Санкт-Петербург;Российская империя
38;Петров-Водкин Кузьма Сергеевич;1878-1939;Хвалынск;Российская империя
39;Петровичев Петр Иванович;1874-1947;Высоково;Российская империя
40;Плотников Владимир Александрович;1873-1947;Орёл;Российская империя
41;Попов Лукиан Васильевич;1873-1914;Архангеловка;Российская империя
42;Пословский Г.;null;null;Российская империя
43;Похитонов Иван Павлович;1850-1923;имение Матрёно-Андреевка;Российская империя
44;Репин Юрий Ильич;1877-1954;Чугуев;Российская Империя
45;Родченко Александр Михайлович;1891-1956;Санкт-Петергург;Российская империя
46;Рябушкин Андрей Петрович;1861-1904;Станичная Слобода;Российская империя
47;Сверчков Николай Егорович;1817-1898;Санкт-Петергург;Российская империя
48;Серебрякова Зинаида Евгеньевна;1884-1967;Нескучное;Российская империя
49;Серов Валентин Александрович;1865-1911;Санкт-Петергург;Российская империя
50;Созыкин Максим;XlX в.;Сарапул;Российская империя
51;Соколов Петр Петрович;1821-1898;Санкт-Петергург;Российская империя
52;Степанов Алексей Степанович;1858-1923;Симферополь;Российская империя
53;Субботин-Пермяк Петр Иванович;1886-1923;Пермь;Российская империя
54;Тамм Франц Вернер фон;1658-1724;Гамбург;Священная Римская империя
55;Тархов Николай Александрович;1871-1930;Орсе;Франция
56;Тенирс Давид;1610-1690;Антверпен;Бельгия
57;Тимус Август Карлович;1865-1917;Паддас;Эстония
58;Туржанский Леонард Викторович;1874-1945;Екатеренбург;Российская империя
59;Ушачников Егор;null;null;Российская империя
60;Фонтана Пьетро;1726-1837;Бассано-дель-Граппа;Италия
61;Френц Рудольф Федорович;1831-1918;Петроград;Российская Советская Федеративная Социалистическая Республика
62;Чехонин Сергей Васильевич;1878-1936;Лыкошино;Российская империя
